書名,頁,目次（NDL公開目次を整理したものです、頁はPDF物理頁、コメントなどはfukkoku@est.co.jpまで）
bit 1997年09月号,63,ソフトウェア探訪(93) 若者のカーナビに負けるか……高橋三雄
bit 1997年09月号,66,さなげ山通信⑤ IBMとCBS 作業記憶の容量について……木村泉
bit 1997年09月号,74,投稿 ちょっとおもしろい数列 ディジタルフラクタル数列……大久保剛史
bit 1997年09月号,76,Java最前線④ ActiveX/COMのオブジェクト技術……萩原正義
bit 1997年09月号,82,知的所有権 Hot Line……久保田裕
bit 1997年09月号,83,Bookガイド わたしの書棚から㉕ 認知科学 編……波多野誼余夫
bit 1997年09月号,90,計算の迷宮㉚ プログラムの気持ち……電脳雑技団
bit 1997年09月号,95,ニューラルコンピューティングの遊び方㉓ モンゴルにおける空港配置問題……大島典子，小川智明，武藤佳恭
bit 1997年09月号,99,bit悪魔の辞典
bit 1997年09月号,100,情報研究フロンティア⑤ 人工知能 SRIインターナショナル……広野和夫
bit 1997年09月号,108,Frequently Asked Questions
bit 1997年09月号,109,マルチメディアの基礎技術⑨ 蓄積圧縮メディアネットワークアクセス――QoS保証型ネットワークでの……花村剛
bit 1997年09月号,119,bit Cadenza
bit 1997年09月号,120,ぶっくす
bit 1997年10月号,1,表紙
bit 1997年10月号,9,目次
bit 1997年10月号,11,Opinion 私と「bit」……西和彦
bit 1997年10月号,12,インターネットと倫理観……名和小太郎
bit 1997年10月号,13,インターネット環境と倫理……名和小太郎
bit 1997年10月号,18,「インターネットと倫理観」に関する雑感……米田英一
bit 1997年10月号,23,電子マネーと倫理問題……岩村充
bit 1997年10月号,27,インターネットと消費者の権利……青山三千子
bit 1997年10月号,30,インターネットの倫理と自由……小向太郎
bit 1997年10月号,35,アレフ・ゼロ そんなに急いでどこへ行く
bit 1997年10月号,36,データベースの曖昧検索による医療診断の支援……茂出木敏雄，飯作俊一
bit 1997年10月号,46,Tips(58) 英語の読み方，書き方のツボ……安藤進
bit 1997年10月号,47,マルチリンガル文書と文字情報処理① マルチリンガル文書処理と漢字……松岡榮志
bit 1997年10月号,53,Java最前線⑤ Castanetを中心としたプッシュテクノロジ……近藤量資，溝口文雄
bit 1997年10月号,65,Bookガイド わたしの書棚から㉖ メディア編……星田昌紀
bit 1997年10月号,72,幻のコンピュータ回路図を解読する……最相力，松本一之
bit 1997年10月号,79,続・キーボード談議⑥ ペンは鍵より強いか?……増井俊之
bit 1997年10月号,85,bit悪魔の辞典
bit 1997年10月号,86,知的所有権 Hot Line……久保田裕
bit 1997年10月号,87,マルチメディアの基礎技術 ⑩ 蓄積圧縮技術メディアネットワークアクセス技術 帯域非保証型ネットワークでの……太田昌孝
bit 1997年10月号,95,情報研究フロンティア⑥ エレクロニックコマース 日立製作所システム開発研究所……ひろのかずお
bit 1997年10月号,103,ソフトウェア探訪 (94) 長寿を目指して……高橋三雄
bit 1997年10月号,106,Frequently Asked Questions
bit 1997年10月号,107,計算の迷宮㉛ ケーブルと衛星はWebの夢を見るか?……電脳雑技団
bit 1997年10月号,112,ニューラルコンピューティングの遊び方㉔ ニューロン座談会……土屋和広，武藤佳恭
bit 1997年10月号,119,bit cadenza
bit 1997年10月号,120,ぶっくす
bit 1997年11月号,1,表紙
bit 1997年11月号,11,目次
bit 1997年11月号,13,Opinion インターネット・パラドックス……金子郁容
bit 1997年11月号,14,複雑系入門 より動的な世界像を求めて(前編)……山本知幸
bit 1997年11月号,23,bir悪魔の辞典
bit 1997年11月号,24,コンピュータミュージックによる医療診断の支援 音痴は名医になれない!……茂出木敏雄，飯作俊一
bit 1997年11月号,34,アレフ・ゼロ 暇潰し経済理論
bit 1997年11月号,35,オープン・グループの技術と活動(前編) UNIXの歴史からMotif，DCE，ActiveXまで……長瀬嘉秀
bit 1997年11月号,40,科学技術計算言語MATLAB……芦野隆一
bit 1997年11月号,47,Tips(59) 英語の読み方，書き方のツボ……安藤進
bit 1997年11月号,48,続・キーボード談議⑦ キーボード革命の提唱 パソコンの真の大衆化のために……奈良総一郎
bit 1997年11月号,58,マルチリンガル文書と文字情報処理② 文字コードにとっての真の国際化とは……小林龍生
bit 1997年11月号,65,知的所有権 Hot Line……久保田裕
bit 1997年11月号,66,Java最前線⑥ Javaチップについて……窪田和弘
bit 1997年11月号,75,Bookガイド わたしの書棚から㉗ 複雑系工学編……鈴木恵二
bit 1997年11月号,83,情報研究フロンティア⑦ カーナビゲーション パイオニア……ひろのかずお
bit 1997年11月号,93,Frequently Asked Questions
bit 1997年11月号,94,さなげ山通信⑥ 7という迷信 歴史の残りかすについて……木村泉
bit 1997年11月号,101,コンピュータがオセロの世界チャンピオンも破る……松原仁
bit 1997年11月号,104,計算の迷宮㉜ こちら認知科学研究所! Ⅵ……電脳雑技団
bit 1997年11月号,111,ソフトウエア探訪(95) 今日の献立は?……高橋三雄
bit 1997年11月号,114,ニューラルコンピューティングの遊び方㉕ニューラルエージェントの学習と進化……井庭崇，武藤佳恭
bit 1997年11月号,120,マルチメディアの基礎技術⑪ テレビ会議ツール……大久保榮
bit 1997年11月号,129,bit cadenza
bit 1997年11月号,130,ぶっくす
bit 1997年12月号,1,表紙
bit 1997年12月号,11,目次
bit 1997年12月号,13,Opinion パソコンが大人になる日?……服部桂
bit 1997年12月号,14,おせっかいロボットとも呼ばれる事情通ロボットの計画……松井俊浩
bit 1997年12月号,22,チェスの次をねらう囲碁 コンピュータ囲碁ソフト大会から……吉川厚
bit 1997年12月号,29,RoboCupへの道:第1章……松原仁
bit 1997年12月号,35,アレフ・ゼロ 外国出張の効用
bit 1997年12月号,36,SuperCon′97 パソコンプログラミングからスーパープログラミングへ……松田裕幸
bit 1997年12月号,48,オープン・グループの技術と活動 分散コンピューティング環境DCE(後編)……長瀬嘉秀
bit 1997年12月号,54,Tips(60) 英語の読み方，書き方のツボ……安藤進
bit 1997年12月号,55,マルチリンガル文書と文字情報処理③ マルチリンガル文書のマルチリンガル表現……小町裕史
bit 1997年12月号,61,続・キーボード談議⑧ かな漢字変換の操作体系をめぐる偏執狂的批判的考察……太田純
bit 1997年12月号,69,bit悪魔の辞典
bit 1997年12月号,70,複雑系入門 より動的な世界像を求めて(後編)……山本知幸
bit 1997年12月号,78,さなげ山通信⑦ △は死びとの印 ふたたび歴史の残りかすについて……木村泉
bit 1997年12月号,83,ソフトウェア探訪(96) ビデオ録画機に変身したパソコン……高橋三雄
bit 1997年12月号,86,Bookガイド わたしの書棚から㉘ 社内教育・教育会社編……君島浩
bit 1997年12月号,94,計算の迷宮㉝ PHSと携帯電話とポケベルとインターネット……電脳雑技団
bit 1997年12月号,100,知的所有権 Hot Line……久保田裕
bit 1997年12月号,101,Java最前線⑦ Javaの国際化と日本語処理……風間一洋
bit 1997年12月号,112,Frequently Asked Questions
bit 1997年12月号,113,情報研究フロンティア⑧ 並列アーキテクチャ 電子技術総合研究所……ひろのかずお
bit 1997年12月号,124,マルチメディアの基礎技術(完) VODとDAVIC……亀山渉
bit 1997年12月号,133,bit cadenza
bit 1997年12月号,134,ぶっくす
bit 1998年01月号,1,表紙
bit 1998年01月号,4,目次
bit 1998年01月号,15,WWWでの論文出版……J.D.Ullman，赤木昭夫
bit 1998年01月号,16,Opinion 日本の情報革命を概観して コミュニティエリアネットワークを考える……公文俊平
bit 1998年01月号,23,Squeak 生まれ変わったApple Smalltalk……津久井正昭
bit 1998年01月号,29,お知らせ
bit 1998年01月号,30,いまどき熱れごろ「ビジュアル言語」どれが買いか……安村通晃，平川正人
bit 1998年01月号,31,ビジュアル言語のすすめ……増井俊之
bit 1998年01月号,34,ビジュアル言語はまだまだなっとらん……竹内郁雄
bit 1998年01月号,37,誕生・プログラミングデザイナー……武山良三
bit 1998年01月号,40,Visual Basic……戸川隼人
bit 1998年01月号,44,Tcl/Tk……田中二郎
bit 1998年01月号,48,VRML……松田晃一
bit 1998年01月号,52,Java……児玉靖司
bit 1998年01月号,56,Prograph……魚井宏高
bit 1998年01月号,60,MAX……片寄晴弘
bit 1998年01月号,64,アレフ・ゼロ ロンドン地下鉄地図
bit 1998年01月号,65,マルチメディアネットワ－ク技術① 高品質マルチメディアからインターネットマルチメディアへ……阪田史郎
bit 1998年01月号,77,ソフトウェア探訪(97) 新たな年を迎えるにあたって……高橋三雄
bit 1998年01月号,79,bit悪魔の辞典
bit 1998年01月号,80,からくり探険隊1 脂肪計付ヘルスメーター……ヨッシー，マナミン
bit 1998年01月号,84,海外事情 アジアから マレーシア編 マルチメディアスーパーコリドー計画……小林岳彦
bit 1998年01月号,86,知的財産権ファイル 仲介業務とJ-CIS構想……久保田裕
bit 1998年01月号,87,情報研究フロンティア９ 理化学研究所・脳科学総合研究センター脳型コンピュータ……ひろのかずお
bit 1998年01月号,98,Bookガイド わたしの書棚から㉙ 設計・デザイン編……前川佳徳
bit 1998年01月号,104,お知らせ
bit 1998年01月号,105,Frequently Asked Questions
bit 1998年01月号,106,計算の迷宮㉞ 科学的計算機科学……電脳雑技団
bit 1998年01月号,113,bit cadenza
bit 1998年01月号,114,ぶっくす
bit 1998年01月号,116,新製品紹介
bit 1998年02月号,1,表紙
bit 1998年02月号,4,目次
bit 1998年02月号,13,初恋ははかなし……香山リカ
bit 1998年02月号,14,ネットワークオペレーティンクシステムInfernoのインパクト
bit 1998年02月号,14,「特集」に寄せて……Dennis Ritchie
bit 1998年02月号,15,UNIXからInfernoへ……村井純
bit 1998年02月号,18,Infernoの概要と特長……中村修
bit 1998年02月号,25,bit悪魔の辞典
bit 1998年02月号,26,新しい情報通信産業に向かって……藤原洋
bit 1998年02月号,32,歌唱トレーニングシステムVSG……片寄晴弘，平井重行
bit 1998年02月号,39,ギリシャに集った世界最先端のコンピュータ音楽 ICMC1997に参加して……長嶋洋一
bit 1998年02月号,46,アレフ・ゼロ Javaという花火
bit 1998年02月号,47,Java最前線 8 JavaTMに関する技術・応用・表現大賞′97報告……高木浩光
bit 1998年02月号,55,知的財産権ファイル コピープロテクションの保護……久保田裕
bit 1998年02月号,56,Bookガイド わたしの書棚から ㉚ 計算機アーキテクチャ・論理設計編……奥川峻史
bit 1998年02月号,64,海外事情 アジアから モンゴル編 パソコン事始め……上村明
bit 1998年02月号,66,さなげ山通信⑧ 家電の恵み フィッツの法則……木村泉
bit 1998年02月号,72,お知らせ
